OrderID,CustomerID,SalespersonPersonID,PickedByPersonID,ContactPersonID,BackorderOrderID,OrderDate,ExpectedDeliveryDate,CustomerPurchaseOrderNumber,IsUndersupplyBackordered,Comments,DeliveryInstructions,InternalComments,PickingCompletedWhen,LastEditedBy,LastEditedWhen
1,832,2,NULL,3032,45,2013-01-01,2013-01-02,12126,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
2,803,8,NULL,3003,46,2013-01-01,2013-01-02,15342,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
3,105,7,NULL,1209,47,2013-01-01,2013-01-02,12211,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
4,57,16,3,1113,NULL,2013-01-01,2013-01-02,17129,1,NULL,NULL,NULL,2013-01-01 11:00:00.0000000,3,2013-01-01 11:00:00.0000000
5,905,3,NULL,3105,48,2013-01-01,2013-01-02,10369,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
6,976,13,3,3176,NULL,2013-01-01,2013-01-02,13383,1,NULL,NULL,NULL,2013-01-01 11:00:00.0000000,3,2013-01-01 11:00:00.0000000
7,575,8,NULL,2349,49,2013-01-01,2013-01-02,17913,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
8,964,7,NULL,3164,50,2013-01-01,2013-01-02,14518,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
9,77,7,NULL,1153,51,2013-01-01,2013-01-02,17577,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
10,191,20,NULL,1381,52,2013-01-01,2013-01-02,18030,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
11,586,3,NULL,2371,53,2013-01-01,2013-01-02,17639,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
12,529,15,NULL,2257,54,2013-01-01,2013-01-02,10941,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
13,473,13,NULL,2145,55,2013-01-01,2013-01-02,16374,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
14,870,8,NULL,3070,56,2013-01-01,2013-01-02,17521,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
15,991,3,3,3191,NULL,2013-01-01,2013-01-02,11911,1,NULL,NULL,NULL,2013-01-01 11:00:00.0000000,3,2013-01-01 11:00:00.0000000
16,414,2,NULL,2027,57,2013-01-01,2013-01-02,10690,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
17,910,8,NULL,3110,58,2013-01-01,2013-01-02,10255,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
18,423,2,4,2045,NULL,2013-01-01,2013-01-02,13260,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
19,949,7,NULL,3149,59,2013-01-01,2013-01-02,16825,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
20,973,14,NULL,3173,60,2013-01-01,2013-01-02,12227,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
21,463,6,4,2125,NULL,2013-01-01,2013-01-02,16070,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
22,884,13,NULL,3084,61,2013-01-01,2013-01-02,16793,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
23,173,7,NULL,1345,62,2013-01-01,2013-01-02,12467,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
24,890,16,3,3090,NULL,2013-01-01,2013-01-02,13700,1,NULL,NULL,NULL,2013-01-01 11:00:00.0000000,3,2013-01-01 11:00:00.0000000
25,189,15,NULL,1377,63,2013-01-01,2013-01-02,11503,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
26,873,15,3,3073,NULL,2013-01-01,2013-01-02,13916,1,NULL,NULL,NULL,2013-01-01 11:00:00.0000000,3,2013-01-01 11:00:00.0000000
27,497,6,NULL,2193,64,2013-01-01,2013-01-02,17783,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
28,484,20,NULL,2167,65,2013-01-01,2013-01-02,13042,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
29,89,8,NULL,1177,66,2013-01-01,2013-01-02,10411,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
30,148,6,NULL,1295,67,2013-01-01,2013-01-02,15084,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
31,467,2,4,2133,NULL,2013-01-01,2013-01-02,14159,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
32,972,3,NULL,3172,68,2013-01-01,2013-01-02,11389,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
33,567,20,NULL,2333,69,2013-01-01,2013-01-02,12559,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
34,92,6,NULL,1183,70,2013-01-01,2013-01-02,19457,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
35,811,8,NULL,3011,71,2013-01-01,2013-01-02,18468,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
36,10,15,NULL,1019,72,2013-01-01,2013-01-02,14486,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
37,862,14,3,3062,NULL,2013-01-01,2013-01-02,19057,1,NULL,NULL,NULL,2013-01-01 11:00:00.0000000,3,2013-01-01 11:00:00.0000000
38,431,16,NULL,2061,73,2013-01-01,2013-01-02,18036,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
39,908,6,NULL,3108,74,2013-01-01,2013-01-02,13079,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
40,995,15,NULL,3195,75,2013-01-01,2013-01-02,19402,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
41,910,15,NULL,3110,76,2013-01-01,2013-01-02,15267,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
42,545,8,NULL,2289,77,2013-01-01,2013-01-02,12781,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
43,1000,20,NULL,3200,78,2013-01-01,2013-01-02,17334,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
44,415,13,NULL,2029,79,2013-01-01,2013-01-02,16645,1,NULL,NULL,NULL,2013-01-01 12:00:00.0000000,7,2013-01-01 12:00:00.0000000
45,832,2,4,3032,NULL,2013-01-01,2013-01-02,12126,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
46,803,8,4,3003,NULL,2013-01-01,2013-01-02,15342,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
47,105,7,4,1209,NULL,2013-01-01,2013-01-02,12211,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
48,905,3,4,3105,NULL,2013-01-01,2013-01-02,10369,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
49,575,8,4,2349,NULL,2013-01-01,2013-01-02,17913,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
50,964,7,4,3164,NULL,2013-01-01,2013-01-02,14518,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
51,77,7,4,1153,NULL,2013-01-01,2013-01-02,17577,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
52,191,20,4,1381,NULL,2013-01-01,2013-01-02,18030,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
53,586,3,4,2371,NULL,2013-01-01,2013-01-02,17639,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
54,529,15,4,2257,NULL,2013-01-01,2013-01-02,10941,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
55,473,13,4,2145,NULL,2013-01-01,2013-01-02,16374,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
56,870,8,4,3070,NULL,2013-01-01,2013-01-02,17521,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
57,414,2,4,2027,NULL,2013-01-01,2013-01-02,10690,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
58,910,8,4,3110,NULL,2013-01-01,2013-01-02,10255,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
59,949,7,4,3149,NULL,2013-01-01,2013-01-02,16825,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
60,973,14,4,3173,NULL,2013-01-01,2013-01-02,12227,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
61,884,13,4,3084,NULL,2013-01-01,2013-01-02,16793,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
62,173,7,4,1345,NULL,2013-01-01,2013-01-02,12467,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
63,189,15,4,1377,NULL,2013-01-01,2013-01-02,11503,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
64,497,6,4,2193,NULL,2013-01-01,2013-01-02,17783,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
65,484,20,4,2167,NULL,2013-01-01,2013-01-02,13042,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
66,89,8,4,1177,NULL,2013-01-01,2013-01-02,10411,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
67,148,6,4,1295,NULL,2013-01-01,2013-01-02,15084,1,NULL,NULL,NULL,2013-01-02 11:00:00.0000000,4,2013-01-02 11:00:00.0000000
